"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"5e93288d2f5aa95b9d083412b3f050740af929b4","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"47729060f6ffe9fb6ecbd5d0a93923b86511dce3"," 175121","Passeroidea","superfamily","0.9969","Metazoa","Chordata","Aves","Passeriformes","","",""
"0f5cd3f0435457ce5da0e4710d31165c594feb74","      1","root","no rank","1.0000","","","","","","",""
"557ca011665c9c30deafb6191b8345f6593026ec"," 126287","Didelphinae","subfamily","0.9998","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"a3e4a69566d4b43118e8ff95e1b017059376182c","  33213","Bilateria","clade","0.9980","Metazoa","","","","","",""
"e49f29f531772e66d7044da181264083c6e69d6d","   9347","Eutheria","clade","0.9985","Metazoa","Chordata","Mammalia","","","",""
"087a8d911fec229613d4840333d4e883b409b483","   8899","Ardeidae","family","0.9870","Metazoa","Chordata","Aves","Pelecaniformes","Ardeidae","",""
"07294fad1cbf2ebdc84df87af2cbd75105f0df29","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"b64a8398870eddb6962daf41e733da28cb441df3","   9347","Eutheria","clade","0.9984","Metazoa","Chordata","Mammalia","","","",""
"b4370506f4993a58d5296b2fccbece40d1abc51b","  38609","Diprotodontia","order","0.9999","Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"ee31fdf15b4c0f3cccd893431e6f6cf175cd230f"," 183663","Soricinae","subfamily","0.9892","Metazoa","Chordata","Mammalia","Eulipotyphla","Soricidae","",""
"901f294d25ec8150e23f660b14fff8aa1b8f90d7"," 337752","Sciurini","tribe","0.9999","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","2743726","Leuciscidae","family","1.0000","Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"b2612971d3e20095dd9ce4088e6b72faa9f25090"," 126287","Didelphinae","subfamily","0.9998","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"aae37ae8e79580afffda1b227e82c2f881f489e6","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"dd6d571342338f3972ec5431964268a774db5882"," 337752","Sciurini","tribe","0.9999","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"a9121b2e8ab63053a65ec506339b319f97a6ce93","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"3e5722c1caef4f6a2ba7482e37343a1de4df0e90","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"9b719fe51f4fec2edf20b29ccc72f7de4d00fe46","  38609","Diprotodontia","order","0.9999","Metazoa","Chordata","Mammalia","Diprotodontia","","",""
"391d6eeb26d409fbb87ced7ccce9af8129454508","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
