"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"93","594f17d30507981571528589f3d86199d3ffa056","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"94","964f494841ecabdb35123461726b0ad92bf050e9","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"95","220480ce5b7c0f78fc9901aa290add35b39543ae","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"96","d3783e4382df2b587e06ba1b934d8d8bc94c14b7","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"97","dc307da5dfa8c718d8d18ea992cce4cbb5bf162a","family",NA,"Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA,"Bradyrhizobiaceae","consensus","consensus"
"98","bac882cf3f8851211b53a87d78df4d8e7110fcdd","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"99","cbebb2a92338a94230b4d4985b680c57b8b8bae4","genus","Metazoa","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus",NA,"Chaetonotus","consensus","consensus"
"100","affac3fd300a96400fda15d464ecbb20dc8e558d","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"101","6bde8f5380b776731221301b849ed526290db1ba","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"102","257d0d479e644f1c86e02c07987bb3ebd0a13347","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"103","eea5c32946b7949d1c3ccd8f386206d23e060bc6","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"104","dc0a465ab80e279217650a7090e9598222ed7c02","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"105","3d93c8f157892dfb793db3af98383f28dbd6e679","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"106","2d222dfb7b95435b062bb580baefe9f055735c07","order","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA,"Diptera","consensus","consensus"
"107","0b295296dda4fff7b9e723cabd486bc951782eb8","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"108","bce4e6db03e02f39e69fd98756da7d15206b5c9c","phylum","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota","consensus","consensus"
"109","a3e1b5ee908c6a38ea2bac8d479069c5e7def152","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"110","7311e2829c11f356ab26b657d548833b000c1f07","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"111","764ab69084be7f58ab6ea650c0fb3fe37f3d115b","family",NA,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,"Sphingobacteriaceae","consensus","consensus"
"112","23404cbdd1f8f9dcd26d8cd1f9768653f2c2024b","species","Metazoa","Mollusca","Gastropoda","Architaenioglossa","Ampullariidae","Pila","Pila virescens","Pila virescens","consensus","consensus"
"113","673145497ba185c54e7b7ff01debf09d52e9f6c1","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"114","767424fccf1dd60d79936a6db8e8ca70830b9d4f","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"115","213612c7a214a4511e7d03edf1f03d1e2dbe4167","species","Metazoa","Annelida","Clitellata","Crassiclitellata","Lumbricidae","Bimastos","Bimastos rubidus","Bimastos rubidus","consensus","consensus"
"116","af33f3af487409df609ab15385c1fd00766924a6","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"117","af9a4abfc693579ee31f23d4fc8ad15fedb91036","species","Metazoa","Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Struthio camelus","consensus","consensus"
"118","42334c7841b4f0ff18b44939d1920d2a2e58e135","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"119","25841daba0d20529e5737352939406d7b050edab","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"120","95f8b6b0ecfd1f821d03541300c8f685de97534e","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"121","70e7299a2b1da61d6d49b67f6fa0bb6f441f978a","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"122","14bdcab2ccabc52239e7012412828f43a7eeff25","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"123","e3437d471426a51bafa8a017d714847054d7740e","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"124","44ff72aea140a2c13fef04ca437868d19399f664","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"125","1619d8e1ff17c6b9a0a53550750eb094a743a626","family","Metazoa","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA,"Chironomidae","consensus","consensus"
"126","f876319fc62c9e507db7e9faec59cc9c13e286e6","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"127","f47ba50844e483f575103571e49f15910b691257","order",NA,"Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,"Rhodospirillales","consensus","consensus"
"128","79d11a1e91715618fe34a2346c6683af9ef7f9d1","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"129","e70034f0cc21f8187511dee2750135db97a19060","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"130","d26387ecd9a036a9d01e3e871e654921484fa58e","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"131","1c22f04ddb5ba424510e1423a63b84f3389df72d","class",NA,NA,"Dinophyceae",NA,NA,NA,NA,"Dinophyceae","consensus","consensus"
"132","fc907c28ddfc285b1f10a223504217e441e1ed6e","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"133","a40122d6ba486b7845eb6849846a85d09e07f4f9","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","consensus","consensus"
"134","577bcf021d7327c307a765313c099a8c1257982b","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"135","98215b09058975291816d67df67a883dd4d45184","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"136","6e28f1d0eadd520167c4948d2f848520ff2635b2","genus","Metazoa","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus",NA,"Chaetonotus","consensus","consensus"
