"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"f76f99ed4b10f10eb82e844a7cce463f4f49fa16","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"062ced2f97fbb3b5ca9e8abccba5e3876451c304"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"e633616ccb8545af913541746fbca8214703b493"," 314146","Euarchontoglires","superorder","0.9999","Metazoa","Chordata","Mammalia","","","",""
"2e30c884795ccc1542205deb19897c4191a1dc6c","   8830","Anatidae","family","0.9963","Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"185824f7d4a43613756c10e1eb0fc14203c5fb2a","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"62d19a0eb53d4e379f15622559c8e9909ebb7ce4","   8092","Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"941e921236dfe48729715020dbfff7fe54b934ae","   8112","Percoidei","suborder","1.0000","Metazoa","Chordata","Actinopteri","Perciformes","","",""
"f58c6fe8aa7db31693892a26a04b170a717bb07e","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"6cf3b89c418b1f61caef9a163df5c0a9b37e7d9d","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"a4911bc76bbd240d8497e2c4e4130f8831b09bda","   9126","Passeriformes","order","1.0000","Metazoa","Chordata","Aves","Passeriformes","","",""
"1a7f87ab0013574ad60f803c3d8d54cad2d15181"," 126287","Didelphinae","subfamily","1.0000","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"58c4340c76f3d3425a695aaad237a0a9a0c24d53"," 337752","Sciurini","tribe","1.0000","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae","",""
"e0d07b5319085bf43893f14966ca4c938d2eeab0","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"47272f04f28dba4f2f00404046177f81df26864d","   8016","Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"e8d3becc5d459b744754d27011339a543f2f9364","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"ef54122b64a894fd609cc01d9cea84b91a75e7ab"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"1002280f609c0944bdf2622fe8a8c47b037884b9","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"bbd1f13ca77e3c5951d33cf7608d12a993ad136c","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"deb5c2daf4c4a34ccf2ba6900759b344e5f8ac5f","   9611","Canis","genus",NA,"Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"b50209dcadb711fc78f023c9011792ce50724e83","   9072","Phasianinae","subfamily",NA,"Metazoa","Chordata","Aves","Galliformes","Phasianidae","",""
