Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Dilution.factor,Type,rc
8,NGN0827,COI.1221.5Sqm.Dn.3,COI,B,180,UDP0180,UDP0180,,1221,5Sqm,Dn,3,,,0
8,NGN0828,COI.1221.5Sqm.Up.1,COI,B,181,UDP0181,UDP0181,,1221,5Sqm,Up,1,,,0
8,NGN0829,COI.1221.5Sqm.Up.2,COI,B,182,UDP0182,UDP0182,,1221,5Sqm,Up,2,,,0
8,NGN0830,COI.0122.1Prt.Up.3,COI,B,183,UDP0183,UDP0183,,122,1Prt,Up,3,,,0
8,NGN0831,COI.0122.2Brn.Dn.3,COI,B,184,UDP0184,UDP0184,,122,2Brn,Dn,3,,,0
8,NGN0832,COI.0122.3Chk.Dn.2,COI,B,185,UDP0185,UDP0185,,122,3Chk,Dn,2,,,0
8,NGN0833,COI.0122.3Chk.Dn.3,COI,B,186,UDP0186,UDP0186,,122,3Chk,Dn,3,,,0
8,NGN0834,COI.0122.4Pad.Dn.1,COI,B,187,UDP0187,UDP0187,,122,4Pad,Dn,1,,,0
8,NGN0835,COI.0122.4Pad.Up11.2,COI,B,188,UDP0188,UDP0188,,122,4Pad,Up11,2,,,0
8,NGN0836,COI.0122.4Pad.Up5.2,COI,B,189,UDP0189,UDP0189,,122,4Pad,Up5,2,,,0
8,NGN0837,COI.0122.4Pad.Up5.3,COI,B,190,UDP0190,UDP0190,,122,4Pad,Up5,3,,,0
8,NGN0838,COI.0222.1Prt.Dn.1,COI,B,191,UDP0191,UDP0191,,222,1Prt,Dn,1,,,0
8,NGN0839,COI.0222.1Prt.Dn.3,COI,B,192,UDP0192,UDP0192,,222,1Prt,Dn,3,,,0
8,NGN0840,COI.0222.2Brn.Dn.2,COI,A,53,UDP0053,UDP0053,,222,2Brn,Dn,2,,,0
8,NGN0841,COI.0222.2Brn.Up.1,COI,A,54,UDP0054,UDP0054,,222,2Brn,Up,1,,,0
8,NGN0842,COI.0222.4Pad.Dn.1,COI,A,55,UDP0055,UDP0055,,222,4Pad,Dn,1,,,0
8,NGN0843,COI.0222.4Pad.Up11.3,COI,A,56,UDP0056,UDP0056,,222,4Pad,Up11,3,,,0
8,NGN0844,COI.0222.5Sqm.Dn.1,COI,A,57,UDP0057,UDP0057,,222,5Sqm,Dn,1,,,0
8,NGN0845,COI.0222.5Sqm.Dn.3,COI,A,58,UDP0058,UDP0058,,222,5Sqm,Dn,3,,,0
8,NGN0846,COI.0222.5Sqm.Up.2,COI,A,59,UDP0059,UDP0059,,222,5Sqm,Up,2,,,0
8,NGN0847,COI.Kangaroo,COI,A,60,UDP0060,UDP0060,,Kangaroo,Kangaroo,Kangaroo,Kangaroo,,,
8,NGN0848,Ac16S.0321.4Pad.Up11.1,Ac16S,A,35,UDP0035,UDP0035,C5,321,4Pad,Up11,1,1,sample,0
8,NGN0849,Ac16S.0321.4Pad.Up11.2,Ac16S,A,36,UDP0036,UDP0036,D5,321,4Pad,Up11,2,1,sample,0
8,NGN0850,Ac16S.0321.4Pad.Up11.3,Ac16S,A,37,UDP0037,UDP0037,E5,321,4Pad,Up11,3,1,sample,0
8,NGN0851,Ac16S.0321.4Pad.Up5.1,Ac16S,A,38,UDP0038,UDP0038,F5,321,4Pad,Up5,1,1,sample,0
8,NGN0852,Ac16S.0321.4Pad.Up5.2,Ac16S,A,39,UDP0039,UDP0039,G5,321,4Pad,Up5,2,1,sample,0
8,NGN0853,Ac16S.0321.4Pad.Up5.3,Ac16S,A,40,UDP0040,UDP0040,H5,321,4Pad,Up5,3,1,sample,0
8,NGN0854,Ac16S.0421.4Pad.Up11.1,Ac16S,A,41,UDP0041,UDP0041,A6,421,4Pad,Up11,1,1,sample,0
8,NGN0855,Ac16S.0421.4Pad.Up11.2,Ac16S,A,42,UDP0042,UDP0042,B6,421,4Pad,Up11,2,1,sample,0
8,NGN0856,Ac16S.0421.4Pad.Up11.3,Ac16S,A,43,UDP0043,UDP0043,C6,421,4Pad,Up11,3,1,sample,0
8,NGN0857,Ac16S.0421.4Pad.Up5.1,Ac16S,A,44,UDP0044,UDP0044,D6,421,4Pad,Up5,1,1,sample,0
8,NGN0858,Ac16S.0421.4Pad.Up5.2,Ac16S,A,45,UDP0045,UDP0045,E6,421,4Pad,Up5,2,1,sample,0
8,NGN0859,Ac16S.0421.4Pad.Up5.3,Ac16S,A,46,UDP0046,UDP0046,F6,421,4Pad,Up5,3,1,sample,0
8,NGN0860,Ac16S.0321.3Chk.Dn.1,Ac16S,A,47,UDP0047,UDP0047,G6,321,3Chk,Dn,1,1,sample,0
8,NGN0861,Ac16S.0321.3Chk.Dn.2,Ac16S,A,48,UDP0048,UDP0048,H6,321,3Chk,Dn,2,1,sample,0
8,NGN0862,Ac16S.0321.3Chk.Dn.3,Ac16S,A,49,UDP0049,UDP0049,A7,321,3Chk,Dn,3,1,sample,0
8,NGN0863,Ac16S.0321.3Chk.Up.1,Ac16S,A,50,UDP0050,UDP0050,B7,321,3Chk,Up,1,1,sample,0
8,NGN0864,Ac16S.0321.3Chk.Up.2,Ac16S,A,51,UDP0051,UDP0051,C7,321,3Chk,Up,2,1,sample,0
8,NGN0865,Ac16S.0321.3Chk.Up.3,Ac16S,A,52,UDP0052,UDP0052,D7,321,3Chk,Up,3,1,sample,0
9,NGN0866,MiFish.0921.1Prt.Up.2,MiFish,B,97,UDP0097,UDP0097,,921,1Prt,Up,2,,,
9,NGN0867,MiFish.0921.2Brn.Up.1,MiFish,B,98,UDP0098,UDP0098,,921,2Brn,Up,1,,,
9,NGN0868,MiFish.0921.3Chk.Dn.1,MiFish,B,99,UDP0099,UDP0099,,921,3Chk,Dn,1,,,
9,NGN0869,MiFish.0921.3Chk.Up.3,MiFish,B,100,UDP0100,UDP0100,,921,3Chk,Up,3,,,
9,NGN0870,MiFish.0921.4Pad.Dn.3,MiFish,B,101,UDP0101,UDP0101,,921,4Pad,Dn,3,,,
9,NGN0871,MiFish.0921.4Pad.Up11.1,MiFish,B,102,UDP0102,UDP0102,,921,4Pad,Up11,1,,,
9,NGN0872,MiFish.0921.4Pad.Up5.1,MiFish,B,103,UDP0103,UDP0103,,921,4Pad,Up5,1,,,
9,NGN0873,MiFish.0921.5Sqm.Dn.2,MiFish,B,104,UDP0104,UDP0104,,921,5Sqm,Dn,2,,,
9,NGN0874,MiFish.1021.1Prt.Dn.1,MiFish,B,105,UDP0105,UDP0105,,1021,1Prt,Dn,1,,,
9,NGN0875,MiFish.1021.1Prt.Up.1,MiFish,B,106,UDP0106,UDP0106,,1021,1Prt,Up,1,,,
9,NGN0876,MiFish.1021.1Prt.Up.3,MiFish,B,107,UDP0107,UDP0107,,1021,1Prt,Up,3,,,
9,NGN0877,MiFish.1021.2Brn.Dn.1,MiFish,B,108,UDP0108,UDP0108,,1021,2Brn,Dn,1,,,
9,NGN0878,MiFish.1021.2Brn.Dn.3,MiFish,B,109,UDP0109,UDP0109,,1021,2Brn,Dn,3,,,
9,NGN0879,MiFish.1021.2Brn.Up.1,MiFish,B,110,UDP0110,UDP0110,,1021,2Brn,Up,1,,,
9,NGN0880,MiFish.1021.2Brn.Up.2,MiFish,B,111,UDP0111,UDP0111,,1021,2Brn,Up,2,,,
9,NGN0881,MiFish.1021.3Chk.Dn.2,MiFish,B,112,UDP0112,UDP0112,,1021,3Chk,Dn,2,,,
9,NGN0882,MiFish.1021.4Pad.Up5.2,MiFish,B,113,UDP0113,UDP0113,,1021,4Pad,Up5,2,,,
9,NGN0883,MiFish.1121.1Prt.Dn.3,MiFish,B,114,UDP0114,UDP0114,,1121,1Prt,Dn,3,,,
9,NGN0884,MiFish.1121.1Prt.Up.3,MiFish,B,115,UDP0115,UDP0115,,1121,1Prt,Up,3,,,
9,NGN0885,MiFish.1121.2Brn.Dn.1,MiFish,B,116,UDP0116,UDP0116,,1121,2Brn,Dn,1,,,
9,NGN0886,MiFish.1121.3Chk.Up.3,MiFish,B,117,UDP0117,UDP0117,,1121,3Chk,Up,3,,,
9,NGN0887,MiFish.1121.4Pad.Dn.1,MiFish,B,118,UDP0118,UDP0118,,1121,4Pad,Dn,1,,,
9,NGN0888,MiFish.1121.4Pad.Dn.3,MiFish,B,119,UDP0119,UDP0119,,1121,4Pad,Dn,3,,,
9,NGN0889,MiFish.1121.4Pad.Up11.1,MiFish,B,120,UDP0120,UDP0120,,1121,4Pad,Up11,1,,,
9,NGN0890,MiFish.1121.4Pad.Up11.2,MiFish,B,121,UDP0121,UDP0121,,1121,4Pad,Up11,2,,,
9,NGN0891,MiFish.1121.5Sqm.Up.2,MiFish,B,122,UDP0122,UDP0122,,1121,5Sqm,Up,2,,,
9,NGN0892,MiFish.1221.1Prt.Dn.1,MiFish,B,123,UDP0123,UDP0123,,1221,1Prt,Dn,1,,,
9,NGN0893,MiFish.1221.2Brn.Up.2,MiFish,B,124,UDP0124,UDP0124,,1221,2Brn,Up,2,,,
9,NGN0894,MiFish.1221.3Chk.Dn.3,MiFish,B,125,UDP0125,UDP0125,,1221,3Chk,Dn,3,,,
9,NGN0895,MiFish.1221.3Chk.Up.1,MiFish,B,126,UDP0126,UDP0126,,1221,3Chk,Up,1,,,
9,NGN0896,MiFish.1221.3Chk.Up.2,MiFish,B,127,UDP0127,UDP0127,,1221,3Chk,Up,2,,,
9,NGN0897,MiFish.1221.4Pad.Up11.2,MiFish,B,128,UDP0128,UDP0128,,1221,4Pad,Up11,2,,,
9,NGN0898,MiFish.1221.4Pad.Up5.3,MiFish,B,129,UDP0129,UDP0129,,1221,4Pad,Up5,3,,,
9,NGN0899,MiFish.0122.1Prt.Dn.3,MiFish,B,130,UDP0130,UDP0130,,122,1Prt,Dn,3,,,
9,NGN0900,MiFish.0122.1Prt.Dn.3.TR2,MiFish,B,131,UDP0131,UDP0131,,122,1Prt,Dn,3.TR2,,,
9,NGN0901,MiFish.0122.1Prt.Dn.3.TR3,MiFish,B,132,UDP0132,UDP0132,,122,1Prt,Dn,3.TR3,,,
9,NGN0902,MiFish.0122.1Prt.Up.2,MiFish,B,133,UDP0133,UDP0133,,122,1Prt,Up,2,,,
9,NGN0903,MiFish.0122.1Prt.Up.3,MiFish,B,134,UDP0134,UDP0134,,122,1Prt,Up,3,,,
9,NGN0904,MiFish.0122.2Brn.Up.1,MiFish,B,135,UDP0135,UDP0135,,122,2Brn,Up,1,,,
9,NGN0905,MiFish.0122.3Chk.Dn.1,MiFish,B,136,UDP0136,UDP0136,,122,3Chk,Dn,1,,,
9,NGN0906,MiFish.0122.3Chk.Dn.2,MiFish,B,137,UDP0137,UDP0137,,122,3Chk,Dn,2,,,
9,NGN0907,MiFish.0122.3Chk.Up.2,MiFish,B,138,UDP0138,UDP0138,,122,3Chk,Up,2,,,
9,NGN0908,MiFish.0122.4Pad.Up5.1,MiFish,B,139,UDP0139,UDP0139,,122,4Pad,Up5,1,,,
9,NGN0909,MiFish.0122.5Sqm.Dn.3,MiFish,B,140,UDP0140,UDP0140,,122,5Sqm,Dn,3,,,
9,NGN0910,MiFish.0222.3Chk.Dn.1,MiFish,B,141,UDP0141,UDP0141,,222,3Chk,Dn,1,,,
9,NGN0911,MiFish.0222.3Chk.Dn.3,MiFish,B,142,UDP0142,UDP0142,,222,3Chk,Dn,3,,,
9,NGN0912,MiFish.0222.3Chk.Up.1,MiFish,B,143,UDP0143,UDP0143,,222,3Chk,Up,1,,,
9,NGN0913,MiFish.0222.3Chk.Up.2,MiFish,B,144,UDP0144,UDP0144,,222,3Chk,Up,2,,,
9,NGN0914,MiFish.Kangaroo,MiFish,B,145,UDP0145,UDP0145,,Kangaroo,Kangaroo,Kangaroo,Kangaroo,,,
9,NGN0915,COI.0921.1Prt.Dn.2,COI,B,146,UDP0146,UDP0146,,921,1Prt,Dn,2,,,
9,NGN0916,COI.0921.1Prt.Up.3,COI,B,147,UDP0147,UDP0147,,921,1Prt,Up,3,,,
