"Sample_name","class","species","tot"
"MiMammal.0421.4Pad.Up11.3","Actinopteri","Oncorhynchus kisutch",77
"MiMammal.0421.4Pad.Up11.3","Actinopteri","Oncorhynchus mykiss",1774
"MiMammal.0421.4Pad.Up11.3","Actinopteri","Perca flavescens",2693
"MiMammal.0421.4Pad.Up11.3","Aves","Melospiza melodia",749
"MiMammal.0421.4Pad.Up5.1","Actinopteri","Oncorhynchus clarkii",309
"MiMammal.0421.4Pad.Up5.1","Actinopteri","Oncorhynchus mykiss",153
"MiMammal.0421.4Pad.Up5.1","Actinopteri","Perca flavescens",7777
"MiMammal.0421.4Pad.Up5.1","Mammalia","Canis lupus",24412
"MiMammal.0421.4Pad.Up5.2","Actinopteri","Oncorhynchus clarkii",1840
"MiMammal.0421.4Pad.Up5.2","Actinopteri","Oncorhynchus mykiss",336
"MiMammal.0421.4Pad.Up5.2","Actinopteri","Perca flavescens",7901
"MiMammal.0421.4Pad.Up5.2","Aves","Tachycineta bicolor",4205
"MiMammal.0421.4Pad.Up5.2","Mammalia","Canis lupus",7158
"MiMammal.0421.4Pad.Up5.2","Mammalia","Neurotrichus gibbsii",85771
"MiMammal.0421.4Pad.Up5.3","Actinopteri","Oncorhynchus clarkii",148
"MiMammal.0421.4Pad.Up5.3","Actinopteri","Oncorhynchus mykiss",270
"MiMammal.0421.4Pad.Up5.3","Actinopteri","Perca flavescens",2086
"MiMammal.0421.5Sqm.Dn.1","Actinopteri","Ameiurus nebulosus",343
"MiMammal.0421.5Sqm.Dn.1","Actinopteri","Oncorhynchus clarkii",404
"MiMammal.0421.5Sqm.Dn.1","Actinopteri","Oncorhynchus kisutch",23
"MiMammal.0421.5Sqm.Dn.1","Actinopteri","Pimephales promelas",198
"MiMammal.0421.5Sqm.Dn.1","Aves","Branta canadensis",98
"MiMammal.0421.5Sqm.Dn.1","Aves","Meleagris gallopavo",55
"MiMammal.0421.5Sqm.Dn.1","Aves","Melospiza melodia",197
"MiMammal.0421.5Sqm.Dn.1","Mammalia","Canis lupus",208
"MiMammal.0421.5Sqm.Dn.1","Mammalia","Didelphis virginiana",409
"MiMammal.0421.5Sqm.Dn.1","Mammalia","Neurotrichus gibbsii",485
"MiMammal.0421.5Sqm.Dn.2","Actinopteri","Ameiurus nebulosus",1311
"MiMammal.0421.5Sqm.Dn.2","Actinopteri","Oncorhynchus clarkii",868
"MiMammal.0421.5Sqm.Dn.2","Actinopteri","Oncorhynchus kisutch",17
"MiMammal.0421.5Sqm.Dn.2","Actinopteri","Oncorhynchus mykiss",46
"MiMammal.0421.5Sqm.Dn.2","Actinopteri","Pimephales promelas",1523
"MiMammal.0421.5Sqm.Dn.2","Aves","Branta canadensis",124
"MiMammal.0421.5Sqm.Dn.3","Actinopteri","Ameiurus nebulosus",570
"MiMammal.0421.5Sqm.Dn.3","Actinopteri","Oncorhynchus clarkii",957
"MiMammal.0421.5Sqm.Dn.3","Actinopteri","Oncorhynchus kisutch",10
"MiMammal.0421.5Sqm.Dn.3","Actinopteri","Pimephales promelas",1414
"MiMammal.0421.5Sqm.Up.1","Actinopteri","Ameiurus nebulosus",9
"MiMammal.0421.5Sqm.Up.1","Actinopteri","Oncorhynchus clarkii",121
"MiMammal.0421.5Sqm.Up.1","Actinopteri","Oncorhynchus kisutch",32
"MiMammal.0421.5Sqm.Up.1","Actinopteri","Oncorhynchus mykiss",33
"MiMammal.0421.5Sqm.Up.1","Actinopteri","Pimephales promelas",200
"MiMammal.0421.5Sqm.Up.1","Aves","Branta canadensis",60
"MiMammal.0421.5Sqm.Up.1","Aves","Junco hyemalis",20
"MiMammal.0421.5Sqm.Up.2","Actinopteri","Ameiurus nebulosus",1958
"MiMammal.0421.5Sqm.Up.2","Actinopteri","Oncorhynchus clarkii",1725
"MiMammal.0421.5Sqm.Up.2","Actinopteri","Oncorhynchus kisutch",197
"MiMammal.0421.5Sqm.Up.2","Actinopteri","Oncorhynchus mykiss",78
"MiMammal.0421.5Sqm.Up.2","Actinopteri","Pimephales promelas",2429
"MiMammal.0421.5Sqm.Up.2","Aves","Branta canadensis",317
"MiMammal.0421.5Sqm.Up.2","Aves","Junco hyemalis",35
"MiMammal.0421.5Sqm.Up.2","Mammalia","Bos taurus",290
"MiMammal.0421.5Sqm.Up.3","Actinopteri","Ameiurus nebulosus",499
"MiMammal.0421.5Sqm.Up.3","Actinopteri","Oncorhynchus clarkii",550
"MiMammal.0421.5Sqm.Up.3","Actinopteri","Oncorhynchus kisutch",58
"MiMammal.0421.5Sqm.Up.3","Actinopteri","Oncorhynchus mykiss",20
"MiMammal.0421.5Sqm.Up.3","Actinopteri","Pimephales promelas",657
"MiMammal.0421.5Sqm.Up.3","Aves","Branta canadensis",502
"MiMammal.0421.5Sqm.Up.3","Aves","Melospiza melodia",296
"MiMammal.0421.5Sqm.Up.3","Aves","Pipilo maculatus",138
"MiMammal.0421.5Sqm.Up.3","Mammalia","Sus scrofa",435
"MiMammal.0421.Kangaroo","Mammalia","Osphranter robustus",323
"MiMammal.0421.Kangaroo","Mammalia","Osphranter rufus",168960
"MiMammal.0521.1Prt.Dn.1","Actinopteri","Oncorhynchus clarkii",9651
"MiMammal.0521.1Prt.Dn.1","Actinopteri","Oncorhynchus kisutch",5059
"MiMammal.0521.1Prt.Dn.1","Actinopteri","Oncorhynchus nerka",141
"MiMammal.0521.1Prt.Dn.1","Aves","Pipilo maculatus",2225
"MiMammal.0521.1Prt.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",4144
"MiMammal.0521.1Prt.Dn.2","Actinopteri","Oncorhynchus clarkii",539
"MiMammal.0521.1Prt.Dn.2","Actinopteri","Oncorhynchus kisutch",248
"MiMammal.0521.1Prt.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",66
"MiMammal.0521.1Prt.Dn.2","Mammalia","Didelphis virginiana",5467
"MiMammal.0521.1Prt.Dn.3","Actinopteri","Oncorhynchus clarkii",1101
"MiMammal.0521.1Prt.Dn.3","Actinopteri","Oncorhynchus kisutch",464
"MiMammal.0521.1Prt.Dn.3","Actinopteri","Oncorhynchus mykiss",108
"MiMammal.0521.1Prt.Dn.3","Actinopteri","Perca flavescens",115
"MiMammal.0521.1Prt.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",315
"MiMammal.0521.1Prt.Dn.3","Mammalia","Canis lupus",3864
"MiMammal.0521.1Prt.Dn.3","Mammalia","Didelphis virginiana",3879
"MiMammal.0521.1Prt.Up.1","Actinopteri","Oncorhynchus clarkii",6228
"MiMammal.0521.1Prt.Up.1","Actinopteri","Oncorhynchus kisutch",462
"MiMammal.0521.1Prt.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",7439
"MiMammal.0521.1Prt.Up.2","Actinopteri","Oncorhynchus clarkii",9455
"MiMammal.0521.1Prt.Up.2","Actinopteri","Oncorhynchus kisutch",1534
"MiMammal.0521.1Prt.Up.2","Aves","Pipilo maculatus",902
"MiMammal.0521.1Prt.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",2387
"MiMammal.0521.1Prt.Up.3","Actinopteri","Oncorhynchus clarkii",11952
"MiMammal.0521.1Prt.Up.3","Actinopteri","Oncorhynchus kisutch",2016
"MiMammal.0521.1Prt.Up.3","Actinopteri","Perca flavescens",1873
"MiMammal.0521.1Prt.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",8610
"MiMammal.0521.2Brn.Dn.1","Actinopteri","Oncorhynchus clarkii",7420
"MiMammal.0521.2Brn.Dn.1","Actinopteri","Oncorhynchus kisutch",47
"MiMammal.0521.2Brn.Dn.2","Actinopteri","Oncorhynchus clarkii",9722
"MiMammal.0521.2Brn.Dn.2","Actinopteri","Oncorhynchus kisutch",15154
"MiMammal.0521.2Brn.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",48
"MiMammal.0521.2Brn.Dn.3","Actinopteri","Oncorhynchus clarkii",6356
"MiMammal.0521.2Brn.Dn.3","Actinopteri","Oncorhynchus kisutch",9127
"MiMammal.0521.2Brn.Dn.3","Aves","Turdus migratorius",8
"MiMammal.0521.2Brn.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",116
"MiMammal.0521.2Brn.Dn.3","Mammalia","Canis lupus",1934
"MiMammal.0521.2Brn.Up.1","Aves","Piranga ludoviciana",1187
"MiMammal.0521.2Brn.Up.1","Mammalia","Scapanus orarius",7173
"MiMammal.0521.2Brn.Up.2","Aves","Piranga ludoviciana",338
"MiMammal.0521.2Brn.Up.3","Actinopteri","Oncorhynchus clarkii",100
"MiMammal.0521.2Brn.Up.3","Aves","Piranga ludoviciana",2
"MiMammal.0521.2Brn.Up.3","Mammalia","Sus scrofa",245
"MiMammal.0521.2Brn.Up.3","Mammalia","Ursus americanus",1902
"MiMammal.0521.3Chk.Dn.1","Actinopteri","Oncorhynchus clarkii",14202
"MiMammal.0521.3Chk.Dn.1","Aves","Piranga ludoviciana",315
"MiMammal.0521.3Chk.Dn.2","Actinopteri","Oncorhynchus clarkii",46226
"MiMammal.0521.3Chk.Dn.2","Actinopteri","Oncorhynchus mykiss",254
"MiMammal.0521.3Chk.Dn.2","Mammalia","Didelphis virginiana",8332
"MiMammal.0521.3Chk.Dn.2","Mammalia","Lynx rufus",5544
"MiMammal.0521.3Chk.Dn.2","Mammalia","Neovison vison",4666
"MiMammal.0521.3Chk.Dn.3","Actinopteri","Oncorhynchus clarkii",48893
"MiMammal.0521.3Chk.Dn.3","Aves","Junco hyemalis",1335
"MiMammal.0521.3Chk.Dn.3","Aves","Piranga ludoviciana",1426
"MiMammal.0521.3Chk.Dn.3","Aves","Turdus migratorius",28
"MiMammal.0521.3Chk.Dn.3","Mammalia","Didelphis virginiana",13332
"MiMammal.0521.3Chk.Up.1","Actinopteri","Oncorhynchus clarkii",39556
"MiMammal.0521.3Chk.Up.1","Mammalia","Didelphis virginiana",1918
"MiMammal.0521.3Chk.Up.2","Actinopteri","Oncorhynchus clarkii",13428
"MiMammal.0521.3Chk.Up.2","Mammalia","Canis lupus",3434
"MiMammal.0521.3Chk.Up.2","Mammalia","Didelphis virginiana",8634
