"","Sample_name","species","tot"
"246","MiMammal.0421.5Sqm.Dn.2","Oncorhynchus mykiss",46
"247","MiMammal.0421.5Sqm.Dn.2","Pimephales promelas",1523
"248","MiMammal.0421.5Sqm.Dn.3","Ameiurus nebulosus",570
"249","MiMammal.0421.5Sqm.Dn.3","Oncorhynchus clarkii",957
"250","MiMammal.0421.5Sqm.Dn.3","Oncorhynchus kisutch",10
"251","MiMammal.0421.5Sqm.Dn.3","Pimephales promelas",1414
"252","MiMammal.0421.5Sqm.Up.1","Ameiurus nebulosus",9
"253","MiMammal.0421.5Sqm.Up.1","Branta canadensis",60
"254","MiMammal.0421.5Sqm.Up.1","Junco hyemalis",20
"255","MiMammal.0421.5Sqm.Up.1","Oncorhynchus clarkii",121
"256","MiMammal.0421.5Sqm.Up.1","Oncorhynchus kisutch",32
"257","MiMammal.0421.5Sqm.Up.1","Oncorhynchus mykiss",33
"258","MiMammal.0421.5Sqm.Up.1","Pimephales promelas",200
"259","MiMammal.0421.5Sqm.Up.2","Ameiurus nebulosus",1958
"260","MiMammal.0421.5Sqm.Up.2","Bos taurus",290
"261","MiMammal.0421.5Sqm.Up.2","Branta canadensis",317
"262","MiMammal.0421.5Sqm.Up.2","Junco hyemalis",35
"263","MiMammal.0421.5Sqm.Up.2","Oncorhynchus clarkii",1725
"264","MiMammal.0421.5Sqm.Up.2","Oncorhynchus kisutch",197
"265","MiMammal.0421.5Sqm.Up.2","Oncorhynchus mykiss",78
"266","MiMammal.0421.5Sqm.Up.2","Pimephales promelas",2429
"267","MiMammal.0421.5Sqm.Up.3","Ameiurus nebulosus",768
"268","MiMammal.0421.5Sqm.Up.3","Branta canadensis",892
"269","MiMammal.0421.5Sqm.Up.3","Melospiza melodia",532
"270","MiMammal.0421.5Sqm.Up.3","Oncorhynchus clarkii",906
"271","MiMammal.0421.5Sqm.Up.3","Oncorhynchus kisutch",89
"272","MiMammal.0421.5Sqm.Up.3","Oncorhynchus mykiss",20
"273","MiMammal.0421.5Sqm.Up.3","Pimephales promelas",1093
"274","MiMammal.0421.5Sqm.Up.3","Pipilo maculatus",241
"275","MiMammal.0421.5Sqm.Up.3","Sus scrofa",710
"276","MiMammal.0421.Kangaroo","Osphranter robustus",323
"277","MiMammal.0421.Kangaroo","Osphranter rufus",168960
"278","MiMammal.0821.1Prt.Dn.1","Didelphis virginiana",3227
"279","MiMammal.0821.1Prt.Dn.1","Lampetra sp. CBM:ZF:17561",8
"280","MiMammal.0821.1Prt.Dn.1","Oncorhynchus clarkii",175
"281","MiMammal.0821.1Prt.Dn.1","Oncorhynchus kisutch",71
"282","MiMammal.0821.1Prt.Dn.2","Didelphis virginiana",25945
"283","MiMammal.0821.1Prt.Dn.2","Felis catus",3765
"284","MiMammal.0821.1Prt.Dn.2","Lampetra sp. CBM:ZF:17561",72
"285","MiMammal.0821.1Prt.Dn.2","Oncorhynchus clarkii",4263
"286","MiMammal.0821.1Prt.Dn.2","Oncorhynchus kisutch",1575
"287","MiMammal.0821.1Prt.Dn.2","Piranga ludoviciana",9
"288","MiMammal.0821.1Prt.Dn.3","Didelphis virginiana",30891
"289","MiMammal.0821.1Prt.Dn.3","Lampetra sp. CBM:ZF:17561",266
"290","MiMammal.0821.1Prt.Dn.3","Oncorhynchus clarkii",1127
"291","MiMammal.0821.1Prt.Dn.3","Oncorhynchus kisutch",495
"292","MiMammal.0821.1Prt.Up.1","Didelphis virginiana",51385
"293","MiMammal.0821.1Prt.Up.1","Lampetra sp. CBM:ZF:17561",62
"294","MiMammal.0821.1Prt.Up.1","Meleagris gallopavo",1409
"295","MiMammal.0821.1Prt.Up.1","Oncorhynchus clarkii",2032
"296","MiMammal.0821.1Prt.Up.1","Oncorhynchus kisutch",15
"297","MiMammal.0821.1Prt.Up.2","Didelphis virginiana",5722
"298","MiMammal.0821.1Prt.Up.2","Lampetra sp. CBM:ZF:17561",825
"299","MiMammal.0821.1Prt.Up.2","Oncorhynchus clarkii",1527
"300","MiMammal.0821.1Prt.Up.2","Oncorhynchus kisutch",230
"301","MiMammal.0821.1Prt.Up.3","Didelphis virginiana",16563
"302","MiMammal.0821.1Prt.Up.3","Oncorhynchus clarkii",1144
"303","MiMammal.0821.1Prt.Up.3","Oncorhynchus kisutch",724
"304","MiMammal.0821.1Prt.Up.3","Scapanus orarius",1616
"305","MiMammal.0821.2Brn.Dn.1","Oncorhynchus clarkii",34153
"306","MiMammal.0821.2Brn.Dn.1","Oncorhynchus kisutch",7885
"307","MiMammal.0821.2Brn.Dn.1","Poecile atricapillus",116
"308","MiMammal.0821.2Brn.Dn.2","Melospiza melodia",5167
"309","MiMammal.0821.2Brn.Dn.2","Oncorhynchus clarkii",14815
"310","MiMammal.0821.2Brn.Dn.2","Oncorhynchus kisutch",4827
"311","MiMammal.0821.2Brn.Dn.3","Canis lupus",1843
"312","MiMammal.0821.2Brn.Dn.3","Oncorhynchus clarkii",28581
"313","MiMammal.0821.2Brn.Dn.3","Oncorhynchus kisutch",10274
"314","MiMammal.0821.2Brn.Up.2","Pheucticus melanocephalus",158
"315","MiMammal.0821.2Brn.Up.2","Piranga ludoviciana",421
"316","MiMammal.0821.2Brn.Up.3","Aplodontia rufa",100
"317","MiMammal.0821.2Brn.Up.3","Canis lupus",656
"318","MiMammal.0821.2Brn.Up.3","Turdus migratorius",23
"319","MiMammal.0821.3Chk.Dn.1","Oncorhynchus clarkii",49416
"320","MiMammal.0821.3Chk.Dn.1","Oncorhynchus mykiss",1165
"321","MiMammal.0821.3Chk.Dn.2","Canis lupus",387
"322","MiMammal.0821.3Chk.Dn.2","Oncorhynchus clarkii",37340
"323","MiMammal.0821.3Chk.Dn.2","Oncorhynchus mykiss",1190
"324","MiMammal.0821.3Chk.Dn.3","Oncorhynchus clarkii",42196
"325","MiMammal.0821.3Chk.Up.1","Oncorhynchus clarkii",19668
"326","MiMammal.0821.3Chk.Up.2","Megaceryle alcyon",365
"327","MiMammal.0821.3Chk.Up.2","Melospiza melodia",587
"328","MiMammal.0821.3Chk.Up.2","Oncorhynchus clarkii",54197
"329","MiMammal.0821.3Chk.Up.3","Melospiza melodia",183
"330","MiMammal.0821.3Chk.Up.3","Oncorhynchus clarkii",81989
"331","MiMammal.0821.3Chk.Up.3","Sus scrofa",189
"332","MiMammal.0821.4Pad.Dn.1","Gasterosteus aculeatus",1218
"333","MiMammal.0821.4Pad.Dn.1","Melospiza melodia",499
"334","MiMammal.0821.4Pad.Dn.1","Oncorhynchus clarkii",785
"335","MiMammal.0821.4Pad.Dn.1","Oncorhynchus kisutch",112
