"Sample_name","class","species","tot"
"MiFish.0421.5Sqm.Dn.3","Aves","Turdus migratorius",22
"MiFish.0421.5Sqm.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",20
"MiFish.0421.5Sqm.Up.1","Actinopteri","Ameiurus nebulosus",823
"MiFish.0421.5Sqm.Up.1","Actinopteri","Oncorhynchus clarkii",12271
"MiFish.0421.5Sqm.Up.1","Actinopteri","Oncorhynchus kisutch",743
"MiFish.0421.5Sqm.Up.1","Actinopteri","Oncorhynchus mykiss",439
"MiFish.0421.5Sqm.Up.1","Actinopteri","Pimephales promelas",13761
"MiFish.0421.5Sqm.Up.1","Aves","Turdus migratorius",38
"MiFish.0421.5Sqm.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",148
"MiFish.0421.5Sqm.Up.2","Actinopteri","Ameiurus nebulosus",5565
"MiFish.0421.5Sqm.Up.2","Actinopteri","Oncorhynchus clarkii",64261
"MiFish.0421.5Sqm.Up.2","Actinopteri","Oncorhynchus kisutch",2808
"MiFish.0421.5Sqm.Up.2","Actinopteri","Oncorhynchus mykiss",5102
"MiFish.0421.5Sqm.Up.2","Actinopteri","Pimephales promelas",65793
"MiFish.0421.5Sqm.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",1244
"MiFish.0421.5Sqm.Up.3","Actinopteri","Ameiurus nebulosus",1575
"MiFish.0421.5Sqm.Up.3","Actinopteri","Oncorhynchus clarkii",65174
"MiFish.0421.5Sqm.Up.3","Actinopteri","Oncorhynchus kisutch",7593
"MiFish.0421.5Sqm.Up.3","Actinopteri","Oncorhynchus mykiss",2482
"MiFish.0421.5Sqm.Up.3","Actinopteri","Pimephales promelas",62664
"MiFish.0421.5Sqm.Up.3","Actinopteri","Salmo trutta",471
"MiFish.0421.5Sqm.Up.3","Aves","Turdus migratorius",45
"MiFish.0421.5Sqm.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",677
"MiFish.0521.1Prt.Dn.1","Actinopteri","Oncorhynchus clarkii",18882
"MiFish.0521.1Prt.Dn.1","Actinopteri","Oncorhynchus kisutch",108
"MiFish.0521.1Prt.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",9410
"MiFish.0521.1Prt.Dn.2","Actinopteri","Oncorhynchus clarkii",14824
"MiFish.0521.1Prt.Dn.2","Actinopteri","Oncorhynchus kisutch",6623
"MiFish.0521.1Prt.Dn.2","Aves","Turdus migratorius",389
"MiFish.0521.1Prt.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",10902
"MiFish.0521.1Prt.Dn.3","Actinopteri","Oncorhynchus clarkii",28997
"MiFish.0521.1Prt.Dn.3","Actinopteri","Oncorhynchus kisutch",8896
"MiFish.0521.1Prt.Dn.3","Actinopteri","Perca flavescens",6
"MiFish.0521.1Prt.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",32328
"MiFish.0521.1Prt.Up.1","Actinopteri","Oncorhynchus clarkii",1613
"MiFish.0521.1Prt.Up.1","Actinopteri","Oncorhynchus kisutch",2236
"MiFish.0521.1Prt.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",2125
"MiFish.0521.1Prt.Up.2","Actinopteri","Oncorhynchus clarkii",45774
"MiFish.0521.1Prt.Up.2","Actinopteri","Oncorhynchus kisutch",5098
"MiFish.0521.1Prt.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",13583
"MiFish.0521.1Prt.Up.3","Actinopteri","Oncorhynchus clarkii",13960
"MiFish.0521.1Prt.Up.3","Actinopteri","Oncorhynchus kisutch",7471
"MiFish.0521.1Prt.Up.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",11003
"MiFish.0521.2Brn.Dn.1","Actinopteri","Oncorhynchus clarkii",101211
