"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon"
"109","8a8ae34abec81aa0d593cd14a474043c1a7b42c9","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"110","f5576e561bc3840c46a664d2f0e4a7ba13dad963","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"111","a36b86d0de494dbb296374c30378b851460b6f3a","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"112","de587b34dbbbb8e7d7842ab6b95061f32f33d941","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus"
"113","7430540c165c02777e5c7dddb5b163c733579c97","order","Metazoa","Chordata","Mammalia","Diprotodontia",NA,NA,NA,"Diprotodontia"
"114","ba3d4a77eb6d441353e633ce5fb70c9ea208d7a5","family","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae",NA,NA,"Cricetidae"
"115","c227859edf1f2f735907e49c12fbadba4079f5b6","genus","Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA,"Microtus"
"116","0182f4586a201b512228a8e021616a615ce13e80","species","Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor","Procyon lotor"
"117","ab176bfacf33fb46f2588f7f6458fa5712a0f8d6","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"118","4745210e99a4d670af1deb41a6941e243d7547a8","order","Metazoa","Chordata","Mammalia","Primates",NA,NA,NA,"Primates"
"119","3efaf9264c622aa69a6e16b9ae54878453da0357","family","Metazoa","Chordata","Mammalia","Carnivora","Felidae",NA,NA,"Felidae"
"120","0a66e6c21612ce0ab89fde4ce94eeac6966c54ac","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae"
"121","3c4e754a97efa108e6feec65c0c355365d44d9da","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"122","729de283a62124c4f1f3a069ff9ceb6f6a079413","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss","Oncorhynchus mykiss"
"123","16b5888b407acdf3478c3e8389015eede6fb2b70","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Anas",NA,"Anas"
"124","195cc1c7f2dd895425c1f7872e3ed4dfe4256c0f","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"125","f89061c8852671127f3503aebcf7095032b639ad","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"126","c4f2967585cbcc006bf49d0851593772dcae17a4","species","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch","Oncorhynchus kisutch"
"127","bf0f73c894605ce8c5b633558c914da0aeaf72df","species","Metazoa","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor canadensis","Castor canadensis"
"128","80b48122ec86fc0054f144d85fb5151350ec9dcd","family","Metazoa","Chordata","Mammalia","Carnivora","Felidae",NA,NA,"Felidae"
"129","484cd19d609b852a8c88a31f26922b9c57fffaaf","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"130","1c750e6acf7f257b38dd658fb72d1db65d5ad259","genus","Metazoa","Chordata","Aves","Anseriformes","Anatidae","Aythya",NA,"Aythya"
"131","0028a78795bae09e2afb3646f7dd703d01fd240f","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"132","136967cb1c70e7e7ea2689937bc225488734af38","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"133","600c3ffc12a39542606a5575eae4598e32b7a7ef","family","Metazoa","Chordata","Aves","Piciformes","Picidae",NA,NA,"Picidae"
"134","af28e10e5abee11c7cf2cbc4d17f1701e0308883","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"135","231893358a8ba7adb4fef06c635d782ef2d6d5e0","species","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Homo sapiens"
"136","ac3a95b434daceb4016e00f4739f550fbbcc6af0","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"137","83c42f6788444d029728771c178933a1212c25d8","family","Metazoa","Chordata","Mammalia","Carnivora","Felidae",NA,NA,"Felidae"
"138","50922e90e3c60c5646b9d4d095ca0bba1c9955cb","family","Metazoa","Chordata","Mammalia","Carnivora","Felidae",NA,NA,"Felidae"
"139","64acd71396ce9fd7a044de196d7f1e36a58c8f32","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"140","25e8531396b00cb9cdd8c87db81331ec1a0ee28e","species","Metazoa","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Lepomis","Lepomis gibbosus","Lepomis gibbosus"
"141","ec1526f8aba97ac211f77efc833e8c6cb278388e","phylum","Metazoa","Chordata",NA,NA,NA,NA,NA,"Chordata"
"142","435c16414e5690d6df50665d4239eea290661196","order","Metazoa","Chordata","Aves","Passeriformes",NA,NA,NA,"Passeriformes"
"143","4cc41e662c82239c20d414581dc6d38ad95962d3","genus","Metazoa","Chordata","Amphibia","Caudata","Dicamptodontidae","Dicamptodon",NA,"Dicamptodon"
"144","dbfc4c5bd03f414677d0dec505587c7ea976c514","family","Metazoa","Chordata","Mammalia","Rodentia","Sciuridae",NA,NA,"Sciuridae"
"145","1c9241baa33d1bcfcf905b891491e400fc887bd4","order","Metazoa","Chordata","Mammalia","Primates",NA,NA,NA,"Primates"
