"","representative","rank","kingdom","phylum","class","order","family","genus","species","taxon","taxID","score"
"74","7bf1e5a1aaad73e912c5489e1a7555e4f9d085cf","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"75","3011e6102d061d648b901f66a11c218addc3c622","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"76","d6a5bdf6e59c7641cfe7648f8bc29f92628a1af2","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"77","cbba212c25bb38944b2d3a7306d30102fa53ffe1","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"78","338278e8a5547628dba50f9f425d73b378ba5bab","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"79","24b4f67d21137647eb5cbc7393a1a825377aa054","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"80","a490d94c73c756dd8886a3fce601dbbb6aef7364","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"81","7b489ed4f3523e0f574fa8fe55c606f62875824c","phylum","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota","consensus","consensus"
"82","3ec734e5a29311f96c45c47a404ba4929d79eb71","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"83","6593da89ea080b10322311e8df7220f6606f6f6e","order","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales",NA,NA,NA,"Sphaeropleales","consensus","consensus"
"84","df63c4d9e0b0816e0853b7da3907ff45f5e55712","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"85","a38809f615727840c0d31759da965140bb0fe6d7","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"86","228e357c3dbd6c2af223f769d5e9ce3eb9a1c53b","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"87","5e8624a0a194a039233c2a8b0beb9dde10c051be","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"88","73a2c947772ff2b49eb3a3be231920285aac403b","genus","Metazoa","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus",NA,"Chaetonotus","consensus","consensus"
"89","0465a05adbe91356259b07f244b7128ca9ed9d3a","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"90","fa1fa62803ec28fb76fbc4a099d5539adab9557f","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"91","1c82d579e53ff9a551d6affefea83a64a808f7ea","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"92","99de321ca5af1277654d8a0969f807b7cafd08ca","species",NA,"Discosea","Flabellinia",NA,"Vannellidae","Vannella","Vannella sp.","Vannella sp.","consensus","consensus"
"93","998bb713e059b1e070bd86127a6750dccfe25bea","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"94","fa080fe17fe315690c15cfd709f9b39a88464295","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"95","437787836589858471ba3254004bed4222d3ac80","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"96","0f857e52e6b886b16d0c9501ba1797502e3bcd3d","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"97","ca6f70ee81c2d60741f8582ebb98f8aa1abbd993","species","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Tetradesmus","Tetradesmus obliquus","Tetradesmus obliquus","consensus","consensus"
"98","f962f50ce8be74c061cf3af4949f55861a936f17","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"99","ac4db42fdc0992a734cbb620e2ac91d2313d0e6b","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"100","1a269353fd913fe102cf5ae745f19fdd506626ac","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"101","00db6ae55268494db584c4ec2061d2f14c9bc639","order","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA,"Araneae","consensus","consensus"
"102","4f69ba30043db078853c51dc5427eb5d7ecf8856","order",NA,"Evosea","Eumycetozoa","Physariida",NA,NA,NA,"Physariida","consensus","consensus"
"103","87a822fd1717a0aa5414f6742e5703b4d5e1c3f0","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"104","2aa7a938bfc95f43cb59150c50ad2215d87de9e5","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"105","92458b7f29a18a53a4e9716e4f20b9ee97b94d92","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"106","eee7bf710fec52e114186bb9b156e9dd08d98a3f","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"107","5ba35f428f7a5afaf1a10d5145a4ea75498975c6","family",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"Flavobacteriaceae","consensus","consensus"
"108","cf8e3ff84b78fd887b391fd9d85faf6e8327f792","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"109","4eea6d087743b7e1fe6b7c711a16f68cd84d6e87","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"110","b65cbccb5296fba39a3f06c261f1a9f71e0bd261","family",NA,"Oomycota",NA,"Pythiales","Pythiaceae",NA,NA,"Pythiaceae","consensus","consensus"
"111","2bc4de957de547840ba9864cfcc2dcd39586ce3d","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"112","45e73fd58bd730fd1431ca249911a70794dde191","genus","Metazoa","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus",NA,"Chaetonotus","consensus","consensus"
"113","d8f2f208e33d1e249fdd3e304c61ac03a8980fc7","phylum","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota","consensus","consensus"
"114","a747a13f326da4518b5127cad581d854e7fc72f5","genus","Metazoa","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus",NA,"Chaetonotus","consensus","consensus"
"115","db2843cf5acb30b6bb9ba0a0bb8beb099713798f","species","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas sp. UWO 241","Chlamydomonas sp. UWO 241","consensus","consensus"
"116","0a6de26f7acbd17c14e648a7beed84dcc49d7615","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"117","172c2b528b594db420fcbaf6f65905a01204d9b7","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"118","3add07816ae0bf91d1e3240555ad7ae08a381396","class","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA,"Sordariomycetes","consensus","consensus"
"119","8d58b0990f54c453257096c13c413b36aaf786e1","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"120","adb8d43e4c533448933c52a9190a8116f627f6c1","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"121","b864125ff5cc55d07467f08cf6f44ffabe637b02","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"122","07736326ac0d287a11e5b5562686d04863b9146d","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"123","b26faf164032921aa244f68678a989249b510306","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"124","dd6b1d881bfa059935db8446b031f99cd088463c","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"125","ea5d0ea3f6fde87e1ea6ffa41cb4b70bd5f8101e","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA,"Fluviicola","consensus","consensus"
"126","373f84ed73eb461e7a227ef9b19cb17927b482c4","family",NA,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae",NA,NA,"Sphingobacteriaceae","consensus","consensus"
"127","3bfa5412cd9800a6ed1155c93d1c60feb612b272","species","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas sp. UWO 241","Chlamydomonas sp. UWO 241","consensus","consensus"
"128","29f1853f17611061f0c88c20bc8b408fe66a454c","species","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlamydomonadaceae","Chlamydomonas","Chlamydomonas sp. UWO 241","Chlamydomonas sp. UWO 241","consensus","consensus"
"129","0802fb4881ef40ab88b7dca6a706f9a3ef75e5a5","genus",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium","consensus","consensus"
"130","7ebadb12ea4074fb1aff54b712556ae7f827b6d4","species",NA,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium psychrophilum","Flavobacterium psychrophilum","consensus","consensus"
"131","223e6c5554102df5279b775cb451b01fbf405857","order",NA,"Evosea","Eumycetozoa","Physariida",NA,NA,NA,"Physariida","consensus","consensus"
